Brand,Variety,Style,Country,Stars,spiciness,spiciness_2,Scoville,continent
Vifon,Viet Cuisine Asian Style Instant Noodle With Mushroom,Tray,Vietnam,2,pepper free,pepper free,0,Asia
Micoem,Cung Dinh Kool Mi Tron Trung Muoi (Salted Egg Flavor),Cup,Vietnam,3.5,pepper free,pepper free,0,Asia
nunu,Fresh Flavors For Life Creamy Curry,Cup,Vietnam,3.5,pepper free,pepper free,0,Asia
Vifon,Hoang Gia Instant Noodles With Minced Pork,Pack,Vietnam,0.25,pepper free,pepper free,0,Asia
Banzai,"Instant Noodles ""Tom Yam Kung"" Shrimp Flavor",Cup,Vietnam,3.5,pepper free,pepper free,0,Asia
Binh Tay,Mi Hai Cua,Pack,Vietnam,4,pepper free,pepper free,0,Asia
Uni-President,Mushroom Flavor,Pack,Vietnam,0,pepper free,pepper free,0,Asia
Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,5,pepper free,pepper free,0,Asia
Acecook,Oh! Ricey Pork Flavour,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Thien Houng Foods,Lemon Chicken Flavour Instant Noodles,Pack,Vietnam,3.25,pepper free,pepper free,0,Asia
Vifon,Chicken Flavour Asian Style Instant Noodles,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vifon,Asian Style Instant Noodles Artificial Beef Flavor,Bowl,Vietnam,3.25,pepper free,mild,"(100, 2500)",Asia
Vina Acecook,Oh! Ricey Pho Ga,Bowl,Vietnam,3,pepper free,pepper free,0,Asia
Vina Acecook,Hao Hao Sate Onion Flavour,Cup,Vietnam,2.5,pepper free,pepper free,0,Asia
A-One,Mi Ly Instant Noodles Mi Chay Vegetarian Flavor,Cup,Vietnam,1.25,pepper free,pepper free,0,Asia
Vifon,Curry Instant Noodle With Chicken,Cup,Vietnam,3,pepper free,pepper free,0,Asia
Paldo Vina,Koreno Premium Mushroom Flavor,Pack,Vietnam,1.5,pepper free,pepper free,0,Asia
Vina Acecook,King Chef Authentic Kimchi Flavour,Pack,Vietnam,4,pepper free,pepper free,0,Asia
United,Xi Gon Satay Onion Flavor,Pack,Vietnam,2.75,pepper free,pepper free,0,Asia
New Way,Spaghetti Instant Noodles,Tray,Vietnam,4,pepper free,pepper free,0,Asia
A-One,Mi Ly Instant Noodles Mi Bo Beef Flavor,Cup,Vietnam,3.5,pepper free,mild,"(100, 2500)",Asia
Paldo Vina,Koreno Premium Ginseng Flavor,Pack,Vietnam,3,pepper free,pepper free,0,Asia
Vina Acecook,Mikochi Tom Yum Flavor Instant Noodles,Pack,Vietnam,3.5,pepper free,hot,"(10000, 50000)",Asia
United,3 Con Tom Instant Noodles Thailand Sour Shrimp Flavor,Pack,Vietnam,2.75,pepper free,pepper free,0,Asia
A-One,Mì Ly Instant Noodles Mì Thịt Xào Pork Flavor,Cup,Vietnam,3,pepper free,mild,"(100, 2500)",Asia
Paldo Vina,Koreno Premium Shrimp Flavor,Pack,Vietnam,3.25,pepper free,pepper free,0,Asia
Miliket,Sate Flavor Instant Noodles,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vifon,Instant Porridge Seafood Flavour,Pack,Vietnam,3.25,pepper free,mild,"(100, 2500)",Asia
United,Instant Noodles Xi Gon Artificial Stewed Beef Flavor,Pack,Vietnam,3.25,pepper free,mild,"(100, 2500)",Asia
Vina Acecook,King Chef Seafood With Kimchi Flavour,Pack,Vietnam,3,pepper free,pepper free,0,Asia
Vifon,Ngon-Ngon Tom Yum Minced Pork Noodle,Cup,Vietnam,3.5,pepper free,hot,"(10000, 50000)",Asia
Vina Acecook,Oh! Ricey Pho Bo Instant Rice Noodles,Bowl,Vietnam,3.75,pepper free,pepper free,0,Asia
Vifon,Oriental Style Instant Noodle Mi Ga Chicken Flavor,Cup,Vietnam,1.25,pepper free,mild,"(100, 2500)",Asia
A-One,Mì Ly Instant Noodles Mì Tôm Shrimp Flavor,Cup,Vietnam,3.25,pepper free,pepper free,0,Asia
Vifon,Mì Gà Tìm Chua Cay Hot & Sour Chicken Flavor Instant Noodles,Pack,Vietnam,2,hot,hot,"(10000, 50000)",Asia
Vifon,Oriental Style Instant Vermicelli Sour Crab Flavour Soup,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vina Acecook,Hao Hao Mi Goreng Shrimp & Onion Flavour,Pack,Vietnam,3.5,pepper free,mild,"(100, 2500)",Asia
Vina Acecook,Oh! Ricey Hủ Tiếu Sườn Heo (Pork Spareribs Flavour),Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vina Acecook,Good Artificial Minced Pork Bean Vermicelli,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vina Acecook,Good Chicken Abalone Bean Vermicelli,Pack,Vietnam,3.25,pepper free,pepper free,0,Asia
Vina Acecook,Good Tomyum Kung Bean Vermicelli,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vina Acecook,Hao Hao Mushroom,Pack,Vietnam,2.75,pepper free,pepper free,0,Asia
Unif / Tung-I,Mushroom Flavor Ramen Noodles,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vifon,Viet Rice Noodles Chicken,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vina Acecook,Good Chicken Bean Vermicelli,Pack,Vietnam,3.25,pepper free,pepper free,0,Asia
Vina Acecook,Hao Hao Mi Chay Vegetarian,Pack,Vietnam,3.25,pepper free,pepper free,0,Asia
Vina Acecook,Bestcook Hot & Sour Shrimp,Bowl,Vietnam,4.25,hot,hot,"(10000, 50000)",Asia
Vifon,Mi Kim Chee,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Binh Tay,Mi Chay Vegetarian,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vifon,Instant Porridge Chicken,Pack,Vietnam,3.25,pepper free,pepper free,0,Asia
Vina Acecook,Oh! Ricey Phnom Penh Rice Noodle,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Gau Do,Hot Sour Shrimp,Pack,Vietnam,3.75,hot,hot,"(10000, 50000)",Asia
Vina Acecook,Kingcook Vegetable,Pack,Vietnam,3,pepper free,pepper free,0,Asia
Vina Acecook,Kingcook Beef,Pack,Vietnam,3,pepper free,pepper free,0,Asia
Gau Do,Chicken Shrimp,Pack,Vietnam,2.5,pepper free,pepper free,0,Asia
Vifon,Hu Tieu Ca Stewed Fish,Bowl,Vietnam,3.75,pepper free,pepper free,0,Asia
Saigon Ve Wong,Kung Fu Mixed Foods,Bowl,Vietnam,2.75,pepper free,pepper free,0,Asia
Vina Acecook,Kingcook Chicken,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vina Acecook,Kingcook Shrimp,Pack,Vietnam,2.75,pepper free,pepper free,0,Asia
Saigon Ve Wong,Kung Fu Artificial Chicken Rice Noodle,Bowl,Vietnam,3.5,pepper free,pepper free,0,Asia
Saigon Ve Wong,Kung Fu Vegetarian,Bowl,Vietnam,2,pepper free,pepper free,0,Asia
Vina Acecook,Hao Hao Shrimp Onion,Pack,Vietnam,3,pepper free,pepper free,0,Asia
Omachi,Spaghetti,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vifon,Phu Gia Bamboo Shoot Artificial Pork Bean Thread,Pack,Vietnam,1.25,pepper free,mild,"(100, 2500)",Asia
Saigon Ve Wong,Kung Fu Artificial Pork Flavor,Bowl,Vietnam,3,pepper free,mild,"(100, 2500)",Asia
Vifon,South Korean Style Kim Chee,Bowl,Vietnam,4.25,pepper free,hot,"(10000, 50000)",Asia
Vifon,Tu Quy Pork,Pack,Vietnam,2.75,pepper free,pepper free,0,Asia
Vifon,Phu Gia Cua Crab Bean Thread,Pack,Vietnam,2.25,pepper free,pepper free,0,Asia
Noah Foods,Phoya Chicken,Bowl,Vietnam,2,pepper free,pepper free,0,Asia
Saigon Ve Wong,Kung Fu Suc Song Artificial Pork,Bowl,Vietnam,3,pepper free,mild,"(100, 2500)",Asia
Noah Foods,Phoya Rice Noodles Beef,Bowl,Vietnam,2.75,pepper free,pepper free,0,Asia
Saigon Ve Wong,Kung Fu Rice Noodle Shrimp Crab ,Bowl,Vietnam,3.75,pepper free,pepper free,0,Asia
Vifon,Tu Quy Sour Spicy Shrimp,Pack,Vietnam,1.75,spicy,spicy,"(2500, 10000)",Asia
Saigon Ve Wong,Kung Fu Rice Noodle Artificial Beef,Bowl,Vietnam,3.5,pepper free,pepper free,0,Asia
Ve Wong,Little Prince Bacon,Pack,Vietnam,4.75,pepper free,pepper free,0,Asia
Vifon,Tu quy Chicken,Pack,Vietnam,3,pepper free,pepper free,0,Asia
Vifon,Mi Lau Thai Thai Stle,Bowl,Vietnam,4,pepper free,pepper free,0,Asia
Vifon,Tu Quy Spicy Beef,Pack,Vietnam,3.5,spicy,spicy,"(2500, 10000)",Asia
Gomex,3 Mien Mi Tom Chua Cay Hot sour Shrimp,Pack,Vietnam,2.25,hot,hot,"(10000, 50000)",Asia
Vifon,Asian Style Instant Noodles Beef,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vina Acecook,Hao Hao Sate Onion,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vina Acecook,Bestcook Hot spicy Tom Yum Shrimp,Bowl,Vietnam,4.25,spicy,spicy,"(2500, 10000)",Asia
Saigon Ve Wong,Kung Fu Artificial Beef Rice Noodle,Pack,Vietnam,4.25,pepper free,pepper free,0,Asia
Vifon,Pho Bo Beef Rice Noodle,Pack,Vietnam,0.5,pepper free,pepper free,0,Asia
Vifon,Asian Style Instant Noodles Shrimp,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Saigon Ve Wong,Kung Fu Artificial Chicken,Pack,Vietnam,3.25,pepper free,pepper free,0,Asia
Vina Acecook,Daily Hot & Sour With Shrimp,Pack,Vietnam,4.5,hot,hot,"(10000, 50000)",Asia
Vina Acecook,Daily Vegetarian,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vifon,Phu Gia Instant Bean Thread Chicken,Pack,Vietnam,3.25,pepper free,pepper free,0,Asia
Gomex,3 Mien Mi Tom Hum Lobster,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vifon,Tasty Mushroom,Pack,Vietnam,2,pepper free,pepper free,0,Asia
Vina Acecook,Oh! Ricey Beef Rice Noodles,Pack,Vietnam,4,pepper free,pepper free,0,Asia
Vina Acecook,Mi Lau Thai Artificial Chicken,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vina Acecook,Mi Lau Thai Shrimp,Pack,Vietnam,4,pepper free,pepper free,0,Asia
Vina Acecook,Hao Hao Sour Hot Shrimp,Pack,Vietnam,3.75,hot,hot,"(10000, 50000)",Asia
Vina Acecook,Daily Beef Ball,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vina Acecook,Oh! Ricey Chicken,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vina Acecook,Mi Lau Thai Seafood,Pack,Vietnam,4,pepper free,pepper free,0,Asia
Vina Acecook,Daily Hot & Spicy Tom Yun,Pack,Vietnam,4,spicy,spicy,"(2500, 10000)",Asia
Vifon,Pho Ga Instant rice Noodle,Bowl,Vietnam,2,pepper free,pepper free,0,Asia
Vina Acecook,Kingcook Tomato Sauce Pork,Tray,Vietnam,3.5,pepper free,pepper free,0,Asia
Saigon Ve Wong,Kung Fu Instant Rice Noodles Artificial Chicken,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vifon,Hu Tieu Bo Kho An Lien Beef,Pack,Vietnam,3.75,pepper free,pepper free,0,Asia
Vifon,Asian Style Instant Noodles Chicken,Pack,Vietnam,3.5,pepper free,pepper free,0,Asia
Vifon,Mi Chay Vegetarian,Pack,Vietnam,2.8,pepper free,pepper free,0,Asia
Saigon Ve Wong,Kung Fu Mi Tom Chua Sour Shrimp,Pack,Vietnam,2.5,pepper free,pepper free,0,Asia
Saigon Ve Wong,Kung Fu Artificial Pork Flavor,Pack,Vietnam,3.75,pepper free,mild,"(100, 2500)",Asia
Binh Tay,Mi Chay Mushroom,Pack,Vietnam,2.75,pepper free,pepper free,0,Asia
Ve Wong,Kung-Fu Chicken Flavor,Pack,Vietnam,2.75,pepper free,mild,"(100, 2500)",Asia
Ve Wong,Mushroom Pork,Pack,Vietnam,1,pepper free,pepper free,0,Asia
Vifon,Nam Vang,Pack,Vietnam,2.5,pepper free,pepper free,0,Asia
Vifon,"Hu Tiu Nam Vang [""Phnom Penh"" style] Asian Style Instant Rice Noodles",Bowl,Vietnam,3.5,pepper free,pepper free,0,Asia
Nan Chuan Dao Sheng,Wuhan Sesame Hot Sauce Konjac Rice Noodle,Pack,China,4.5,hot,hot,"(10000, 50000)",Asia
Artisan,Instant Noodles Artificial Beef Flavor,Cup,China,3.5,pepper free,mild,"(100, 2500)",Asia
Namchang,Rice Noodles Classic Flavor,Box,China,3.25,pepper free,pepper free,0,Asia
Artisan,Chongqing Style Noodles,Cup,China,4,pepper free,pepper free,0,Asia
Kailo Brand,Instant Noodles Chicken Flavour,Bowl,China,1,pepper free,pepper free,0,Asia
Yumei,Night Market Chow Mein - Soy Sauce Flavor,Box,China,3.5,pepper free,mild,"(100, 2500)",Asia
Lingzhu,Hot & spicy Konjac Liangpi,Cup,China,4,spicy,spicy,"(2500, 10000)",Asia
Baman,Sour Doujiao Noodle,Box,China,5,pepper free,pepper free,0,Asia
Sichuan Guangyou,Chongqing Instant Noodle Artificial Beef Flavor,Bowl,China,3,pepper free,mild,"(100, 2500)",Asia
Uncle Fun,Hai Nan Fen,Pack,China,2.75,pepper free,pepper free,0,Asia
Shi Zu Ren,Energy Vegetarian Beef Flavor,Cup,China,4.5,pepper free,mild,"(100, 2500)",Asia
Xiao Long Kan,Jintong Sour & Hot Pumpkin Flavor,Cup,China,3,hot,hot,"(10000, 50000)",Asia
Single Grain,Chongqing Noodles,Cup,China,5,pepper free,pepper free,0,Asia
Mo Xiao Xian,Luosifer Instant Rice Noodle,Cup,China,0.5,pepper free,pepper free,0,Asia
Shoo Loong Kan,Mianyang Instant Rice Noodle,Box,China,3,pepper free,pepper free,0,Asia
Fenweixiang,Hengyang Fish Instant Rice Noodle,Cup,China,4,pepper free,pepper free,0,Asia
Fairy Bridge,Huo Guo Gu Maocai Instant Hot Pot Noodles Chuanchuanxiang Flavor,Pack,China,0,hot,hot,"(10000, 50000)",Asia
Sichuan Baijia,Chengdu Sweet Noodle,Pack,China,3.5,pepper free,pepper free,0,Asia
Niudafang,Lanzhou Ramen,Box,China,3.25,pepper free,pepper free,0,Asia
Shi Zu Ren,Daozai Mian Instant Sour Noodle Soup,Cup,China,3.5,pepper free,pepper free,0,Asia
Fan's Kitchen,Premium Instant Noodles Sesame Chili Sauce Flavour,Cup,China,5,pepper free,pepper free,0,Asia
Baixiang,Artificial Chicken Soup Flavour Instant Noodle,Pack,China,4,pepper free,mild,"(100, 2500)",Asia
Kou Da Xiang,Hot & Spicy Mixed Instant Noodle,Box,China,5,spicy,spicy,"(2500, 10000)",Asia
Fan's Kitchen,Premium Instant Noodles Chongqing Spicy Flavor,Cup,China,3.5,spicy,spicy,"(2500, 10000)",Asia
Fan's Kitchen,Premium Instant Noodles With Stewed Beef Flavour,Cup,China,5,pepper free,pepper free,0,Asia
Guangyou,Artificial Clam Flavored Instant Noodle,Cup,China,3.5,pepper free,pepper free,0,Asia
Sanyang,Yishi Classic Guilin Rice Noodle,Pack,China,3,pepper free,pepper free,0,Asia
Sichuan Baijia,Mian Yang Rice Noodle Artificial Beef Flavor,Pack,China,4.5,pepper free,mild,"(100, 2500)",Asia
Sichuan Baijia,Red Oil Noodle,Cup,China,4.5,pepper free,pepper free,0,Asia
Single High,Spicy Bean Vermicelli With Oden,Cup,China,5,spicy,spicy,"(2500, 10000)",Asia
Sichuan Baijia,Luosi Rice Noodles,Cup,China,3,pepper free,pepper free,0,Asia
Sichuan Baijia,Hot & Sour Instant Vermicelli,Cup,China,4.75,hot,hot,"(10000, 50000)",Asia
Shi Zu Ren,Energy River Snail Vermicelli,Cup,China,3.5,pepper free,pepper free,0,Asia
Shi Zu Ren,Energy Vegetarian Spicy Vermicelli,Cup,China,3.75,spicy,spicy,"(2500, 10000)",Asia
Cao Is Starving,Dried Instant Noodles Wuhan Hot Flavor,Tray,China,4.5,hot,hot,"(10000, 50000)",Asia
House Of Delicious Taste,Hot & Sour Vermicelli,Cup,China,4,hot,hot,"(10000, 50000)",Asia
Liangshi Nara,Japanese Noodle Salted Egg Flavor,Cup,China,3.5,pepper free,pepper free,0,Asia
JML,Instant Noodle Artificial Mushroom Chicken Flavor,Bowl,China,3.75,pepper free,mild,"(100, 2500)",Asia
Single Grain,Hot & Sour Lava Noodles,Cup,China,4.5,hot,hot,"(10000, 50000)",Asia
Liangshi Nara,Japanese Noodle Salted Egg Crab Flavor,Cup,China,5,pepper free,pepper free,0,Asia
Single Grain,Spicy Sichuan Pepper Instant Noodle,Cup,China,5,spicy,spicy,"(2500, 10000)",Asia
Single Grain,Chongqing Spicy & Sour Rice Noodles,Cup,China,3.5,spicy,spicy,"(2500, 10000)",Asia
Sichuan Baijia,Big Boss Broad Noodle Chili Oil Flavor (Sour & Hot),Cup,China,4.5,hot,hot,"(10000, 50000)",Asia
JML,Instant Yakosoba XL Chajang (Bean Sauce) Flavor,Tray,China,5,pepper free,pepper free,0,Asia
Baixiang,Artificial Beef With Sauerkraut,Bowl,China,4,pepper free,pepper free,0,Asia
Love To Share,Xiangnian Scallion Oil Mixed Noodles,Box,China,4.5,pepper free,pepper free,0,Asia
Single Grain,Spicy Beef Tripe Noodle,Bowl,China,5,spicy,spicy,"(2500, 10000)",Asia
JML,Instant Yakisoba Ma Jiang,Tray,China,4,pepper free,pepper free,0,Asia
Baixiang,Artificial Pork Bone Soup Flavor Instant Noodle,Pack,China,3.75,pepper free,mild,"(100, 2500)",Asia
Love To Share,Xiangnian Daoxiao Noodles,Box,China,5,pepper free,pepper free,0,Asia
Sichuan Baijia,Yibin Burning Noodle,Pack,China,4.5,pepper free,pepper free,0,Asia
LMF,Hong Kong Chow Mein Sichuan Hot Spicy Flavor,Pack,China,4.5,spicy,spicy,"(2500, 10000)",Asia
Baixiang,Artificial Crawfish Flavored Stir Fried Noodle,Pack,China,3.75,pepper free,pepper free,0,Asia
Shi Zu Ren,Energy Green Sichuan Pepper Instant Vermicelli,Cup,China,3.5,pepper free,pepper free,0,Asia
Baixiang,Artificial Spicy Beef Flavor Instant Noodle,Bowl,China,3.75,spicy,spicy,"(2500, 10000)",Asia
Cao Is Starving,Dried Noodles Tomato Flavor,Tray,China,3.5,pepper free,pepper free,0,Asia
Boys & Girls,Steam Noodle Spicy Beef Flavor,Cup,China,5,spicy,spicy,"(2500, 10000)",Asia
Gu Sister,Clam Flavor Bean Vermicelli,Cup,China,4.5,pepper free,pepper free,0,Asia
Boys & Girls,Steam Noodle Tomato & Egg Flavor,Cup,China,5,pepper free,pepper free,0,Asia
Shi Zu Ren,Energy Instant Hot & Sour Flavor Vermicelli,Cup,China,3.5,hot,hot,"(10000, 50000)",Asia
Cao Is Starving,Dried Noodles Braised Chicken Flavor,Tray,China,4.25,pepper free,mild,"(100, 2500)",Asia
Mr. Meng,Tomato Egg Instant Noodles,Cup,China,5,pepper free,pepper free,0,Asia
Pangdama,Slightly Spicy Beef Flavor Instant Noodle,Bowl,China,4,spicy,spicy,"(2500, 10000)",Asia
Cao Is Starving,Dried Noodles Chongqing Style,Tray,China,3.25,pepper free,pepper free,0,Asia
Shi Zu Ren,Energy Instant Clam Flavor Vermicelli,Cup,China,3.5,pepper free,pepper free,0,Asia
LMF,Hong Kong Chow Mein Tan Tan Flavor,Pack,China,2.5,pepper free,mild,"(100, 2500)",Asia
Shun Savory,Dried Noodles Hot & Sour,Pack,China,4,hot,hot,"(10000, 50000)",Asia
Sichuan Baijia,Hong You Mian Pi,Bowl,China,3.5,pepper free,pepper free,0,Asia
Shun Savory,Dried Chongqing Noodles,Pack,China,3.75,pepper free,pepper free,0,Asia
Yibin,Burning Noodle Hot & Spicy,Tray,China,0,spicy,spicy,"(2500, 10000)",Asia
Shun Savory,Dried Dan Dan Noodles,Pack,China,3.5,pepper free,pepper free,0,Asia
Qi Shi Liu Ren,Back To Henan' Instant Noodle,Bowl,China,5,pepper free,pepper free,0,Asia
Liang Cheng Mai,Sao Zi Mian,Box,China,4.5,pepper free,pepper free,0,Asia
Yumei,Lazy Noodle Sichuan Green Pepper Flavor,Tray,China,0,pepper free,pepper free,0,Asia
LMF,Hong Kong Chow Mein Garlic Minced Pork Flavor,Pack,China,4,pepper free,mild,"(100, 2500)",Asia
Haogemen,Chongqing Noodles Hot & Spicy,Pack,China,4.25,spicy,spicy,"(2500, 10000)",Asia
Soup Daren,Pork Bone Noodles,Pack,China,5,pepper free,pepper free,0,Asia
Lau Liu tou,Beef Flavor Spicy Soup,Bowl,China,4,spicy,spicy,"(2500, 10000)",Asia
Sichuan Baijia,Burning Dry Noodles Chili Oil Flavor,Bowl,China,3.5,pepper free,pepper free,0,Asia
Sichuan Baijia,Big Boss Hot & Sour Sweet Potato Vermicelli,Cup,China,1.5,hot,hot,"(10000, 50000)",Asia
Jinmailang,Cup Noodles Slow Roast Beef Flavor,Cup,China,2.5,pepper free,mild,"(100, 2500)",Asia
Liangchengmei,Biang Biang Men,Box,China,5,pepper free,pepper free,0,Asia
Master Kong,Golden Stock Shrimp Noodles,Bowl,China,5,pepper free,pepper free,0,Asia
Luosiking,Spicy River Snail & Pork,Tray,China,3.75,spicy,spicy,"(2500, 10000)",Asia
Luosiking,River Snail & Pork,Bowl,China,3.75,pepper free,pepper free,0,Asia
Double Mountain,Xiamen Instant Noodles Satay Flavor,Pack,China,5,pepper free,pepper free,0,Asia
Lau Liu Tou,Hand Made Noodles Spicy Beef,Bowl,China,3.75,spicy,spicy,"(2500, 10000)",Asia
Sichuan Baijia,Green Curry Shrimp Flavor Instant Vermicelli,Pack,China,1,pepper free,pepper free,0,Asia
New Touch,Kimchi Ramen,Bowl,China,4,pepper free,pepper free,0,Asia
Uni-President,Braised Beef Stir Noodle Bowl,Bowl,China,3.5,pepper free,pepper free,0,Asia
Nongshim,Shin Black Bowl,Bowl,China,5,pepper free,pepper free,0,Asia
Uni-President,Guizhou Spicy Soybean Paste Flavor Stir Noodle Bowl,Bowl,China,3.75,spicy,spicy,"(2500, 10000)",Asia
Chencun,The Flavours Of Yunnan China Acid & Peppery Beef,Bowl,China,2.75,pepper free,pepper free,0,Asia
Uni-President,Pickled Cabbage Beef Stir Noodle Bowl,Bowl,China,4.25,pepper free,pepper free,0,Asia
Uni-President,XO Sauce Stir Noodle Bowl,Bowl,China,4,pepper free,mild,"(100, 2500)",Asia
Wugudaochang,Tomato Sirloin Instant Broad Noodles,Bowl,China,5,pepper free,pepper free,0,Asia
Sichuan Baijia,Sichuan Hot & Sour Vermicelli,Bowl,China,3.75,hot,hot,"(10000, 50000)",Asia
Soup Daren,Spicy Pork Bone Noodle,Bowl,China,5,spicy,spicy,"(2500, 10000)",Asia
Soup Daren,Borscht Noodle,Bowl,China,2.75,pepper free,pepper free,0,Asia
Yumei,Instant Sour Turnip Duck Vermicelli Hot Pot,Tray,China,3.75,hot,hot,"(10000, 50000)",Asia
"Chongqing Suanlabao Food Co., Ltd.",Hot Pot Mala Seasoning & Sesame Oil Package,Tray,China,0.25,hot,hot,"(10000, 50000)",Asia
Chencun,The Flavours Of Yunnan China Torpid & Peppery Beef,Bowl,China,4.5,pepper free,pepper free,0,Asia
Shanjinshan,Yibin Burning Noodle Green Onion Flavor,Tray,China,3.75,pepper free,pepper free,0,Asia
Da Long Yi,Self Heating Hot Pot - Vegetable Version,Bowl,China,3.5,hot,hot,"(10000, 50000)",Asia
Sichuan Baijia,Broad Noodle Sour Soup Fish Flavor,Pack,China,4.5,pepper free,pepper free,0,Asia
Liangchengmei,30 Second Hot Bird Noodle,Box,China,3.75,hot,hot,"(10000, 50000)",Asia
Nongshim,Nongshim Korean Clay Pot Ramyun,Bowl,China,3.5,pepper free,pepper free,0,Asia
Yumei,Instant Spicy Hot Pot,Bowl,China,2.25,spicy,spicy,"(2500, 10000)",Asia
JML,Yakisoba Sweet & Sour Pork Ribs Flavor,Tray,China,4,pepper free,pepper free,0,Asia
Qinsheng,Dumpling Pastry Hot & Sour Noodle,Pack,China,5,hot,hot,"(10000, 50000)",Asia
Chuanbei,Sichuan Yibin Style Spicy Noodles,Tray,China,4,spicy,spicy,"(2500, 10000)",Asia
Qicaiyuan,Liangpi (Shaanxik cold noodle),Pack,China,4.25,pepper free,pepper free,0,Asia
JML,Instant Noodle Artificial Spicy Hot Beef Flavor,Pack,China,3.75,spicy,spicy,"(2500, 10000)",Asia
Nongshim,Kimchi Ramyun,Bowl,China,3.75,pepper free,pepper free,0,Asia
Liu Quan,Authentic Snail Rice Noodle,Bowl,China,3.25,pepper free,pepper free,0,Asia
Nongshim,Kamjatangmyun Potato Pork Flavour,Pack,China,4.75,pepper free,pepper free,0,Asia
JML,Bone Soup (Spare Ribs Flavour) Noodle,Pack,China,3.25,pepper free,pepper free,0,Asia
Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,4,spicy,spicy,"(2500, 10000)",Asia
Uni-President,Pickled Cabbage Beef,Pack,China,4.25,pepper free,pepper free,0,Asia
Sichuan Guangyou,Sweet Potato Instant Noodle Sour-Hot Flavor,Bowl,China,0,hot,hot,"(10000, 50000)",Asia
Nissin,Cup Noodles XO Sauce Seafood,Cup,China,3.75,pepper free,mild,"(100, 2500)",Asia
Master Kong,Roasted Pork Noodle,Pack,China,4.5,pepper free,pepper free,0,Asia
Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75,spicy,spicy,"(2500, 10000)",Asia
Xiuhe,Hot & Sour Beef Noodles,Bowl,China,4.25,hot,hot,"(10000, 50000)",Asia
Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0.25,spicy,spicy,"(2500, 10000)",Asia
Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5,pepper free,pepper free,0,Asia
Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1,spicy,spicy,"(2500, 10000)",Asia
Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25,pepper free,pepper free,0,Asia
Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,pepper free,pepper free,0,Asia
Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25,pepper free,pepper free,0,Asia
Liu Quan,Instant Spicy Rice Noodle,Bowl,China,4,spicy,spicy,"(2500, 10000)",Asia
Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,3.75,spicy,spicy,"(2500, 10000)",Asia
Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,4,pepper free,pepper free,0,Asia
Qin Zong,Shaanxi Cold Noot Hot & Sour Flavor,Pack,China,2.75,hot,hot,"(10000, 50000)",Asia
Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,3.25,pepper free,pepper free,0,Asia
Nissin,Cup Noodles Seafood,Cup,China,4,pepper free,pepper free,0,Asia
Sichuan Baijia,Chongqing Noodles Spicy Hot Flavor,Pack,China,4.5,spicy,spicy,"(2500, 10000)",Asia
Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0,pepper free,pepper free,0,Asia
Sichuan Baijia,Chongqing Noodles Hot & Sour Flavor,Pack,China,4,hot,hot,"(10000, 50000)",Asia
