Brand,Variety,Style,Country,Stars,spiciness,spiciness_2,Scoville,continent
Tseng Noodles,Sichuan Pepper Flavor,Pack,Taiwan,4.75,pepper free,pepper free,0,Asia
Tseng Noodles,Hu Sesame Flavor,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Tseng Noodles,Scallion With Sichuan Pepper  Flavor,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Ten-In,Veggie King Buddha Jump Instant Noodles,Bowl,Taiwan,1.5,pepper free,pepper free,0,Asia
Chering Chang,Instant Non-Fried Noodles Tomato Flavour,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Mom's Dry Noodle,Sesame & Pepper,Pack,Taiwan,4,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Veggie Noodle Carrot Noodle With Original Sauce,Pack,Taiwan,4.25,pepper free,pepper free,0,Asia
Mom's Dry Noodle,Spicy & Sour Flavor,Pack,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
A-Sha Dry Noodle,Veggie Noodle Baby Grass Noodle With Toona Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Wu-Mu,BBQ Pork Flavor Chow Mein,Pack,Taiwan,4.5,pepper free,mild,"(100, 2500)",Asia
Vedan,Zan Vegetarian Instant Noodle Series Shiitake Mushroom Flavour,Cup,Taiwan,2.75,pepper free,pepper free,0,Asia
Wei Lih,Jah Jan Men,Bowl,Taiwan,5,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Veggie Noodle Black Sesame Noodle,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Chering Chang,Instant Non-Fried Noodles Vegetable Curry Flavor,Pack,Taiwan,5,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Hakka Flat Noodle With Za Jiang Sauce,Pack,Taiwan,4,pepper free,pepper free,0,Asia
Ten-In,Veggie World Vegetarian Braised Beef Instant Noodles,Bowl,Taiwan,3.5,pepper free,pepper free,0,Asia
Lishan Food Manufacturing,Black Cock Brand Vegetarian Chicken Noodle,Pack,Taiwan,3.5,pepper free,pepper free,0,Asia
Deshome,Aloe Thin Noodles With Camelia Oil Vegetable Sauce Flavor,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Wei Lih,Instant Noodles With Onion Flavour,Pack,Taiwan,4.25,pepper free,pepper free,0,Asia
Long Jun Hang,Taiwan Dried Noodles With Onion Oil Sauce,Pack,Taiwan,2,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Veggie Noodle Tomato Noodle With Vine Ripened Tomato Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Vedan,Wei Wei A Instant Noodles Hot Beef Flavour,Bowl,Taiwan,2.5,hot,hot,"(10000, 50000)",Asia
Deshome,Aloe This Noodles With Camellia Oil Spicy Bean Sauce Flavor,Pack,Taiwan,2.5,spicy,spicy,"(2500, 10000)",Asia
Chering Chang,Instant Non-Fried Noodles Shallot Pork Flavour,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Mom's Dry Noodle,Vegan Chilli With Sesame Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Chering Chang,Steam Vegetarian Flavor Noodles,Pack,Taiwan,3.5,pepper free,pepper free,0,Asia
Vedan,Volcano Spicy Pork Noodle,Bowl,Taiwan,4.25,spicy,spicy,"(2500, 10000)",Asia
Wu-Mu,Steam Pork Flavour,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Long Jun Hang,Tainan Yi Mien With Sesame Oil Sauce,Pack,Taiwan,3.25,pepper free,mild,"(100, 2500)",Asia
Mom's Dry Noodle,Sichuan Spicy Flavor,Pack,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
Mom's Dry Noodle,Onion Oil & Shrimp Flavor,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Wei Lih,Steam Instant Noodles Korean Salt & Rib Soup Flavour,Bowl,Taiwan,2.25,pepper free,pepper free,0,Asia
Wu-Mu,Dried Noodle With Beef Flavor Sauce,Pack,Taiwan,3,pepper free,pepper free,0,Asia
Sau Tao,Oat Noodle Abalone Flavored,Pack,Taiwan,1.75,pepper free,pepper free,0,Asia
